compound_name,formula,has_viscosity,viscosity_points,has_surface_tension,surface_tension_points,dataset_ids
"N-(butoxymethyl)-2-hydroxy-N,N-dimethylethanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C11H22F6N2O6S2,True,1,False,0,NiCTA
N-(chloromethylene)-N-methylmethanaminium 2-acrylamido-2-methylpropane-1-sulfonate,C10H19ClN2O4S,True,8,False,0,keuEn
"N-(ethoxymethyl)-2-hydroxy-N,N-dimethylethanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C9H18F6N2O6S2,True,1,False,0,ndYMo
"N-3-hydroxypropyl-N,N-dimethyl-N-ethylammonium bis(trifluoromethanesulfonyl)amide",C9H18F6N2O5S2,True,16,False,0,BQBym
"N-Hexyl-N,N-dimethyl-1-propanaminium bis[(trifluoromethyl)sulfonyl]imide",C13H26F6N2O4S2,False,0,True,11,rbffs
"N-[(decyloxy)methyl]-2-hydroxy-N,N-dimethylethanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C17H34F6N2O6S2,True,1,False,0,MzKGy
N-[(dihexylamino)(dimethylamino)methylene]-N-hexyl-1-hexanaminium chloride,C27H58ClN3,False,0,True,1,xpWFJ
N-[(dihexylamino)(dimethylamino)methylene]-N-hexyl-1-hexanaminium dicyanamide,C29H58N6,False,0,True,1,WDkmc
"N-[(dodecyloxy)methyl]-2-hydroxy-N,N-dimethylethanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C19H38F6N2O6S2,True,1,False,0,LskgT
"N-[(heptyloxy)methyl]-2-hydroxy-N,N-dimethylethanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C14H28F6N2O6S2,True,1,False,0,kLRrb
"N-[(hexyloxy)methyl]-2-hydroxy-N,N-dimethylethanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C13H26F6N2O6S2,True,1,False,0,qYOCn
"N-adamantyl-N,N-dimethyl-N-hexylammonium bis(trifluoromethylsulfonyl)imide",C20H34F6N2O4S2,True,4,True,1,iouWj;pAfTi
"N-adamantyl-N,N-dimethyl-N-octylammonium bis(trifluoromethylsulfonyl)imide",C22H38F6N2O4S2,True,3,True,1,tVoed;OSnGP
N-allyl-N-methylprop-2-en-1-aminium trifluoromethanesulfonate,C8H14F3NO3S,True,5,False,0,TBbGT
N-butyl-3-methylpyridinium methylsulfate,C11H19NO4S,False,0,True,16,AQaZu
"N-butyl-N,N,N-tris(2-hydroxyethyl)ammonium bis(trifluoromethanesulfonyl)amide",C12H24F6N2O7S2,True,16,False,0,nuVCU
"N-butyl-N,N-dimethyl-N-(2-hydroxyethyl)ammonium bis(trifluoromethanesulfonyl)imide",C10H20F6N2O5S2,True,19,False,0,QMJQn
"N-butyl-N,N-dimethyl-N-ethylammonium bis(trifluoromethanesulfonyl)amide",C10H20F6N2O4S2,True,18,False,0,lVPLD;rBXel;ZNqLs
N-butyl-N-methylmorpholinium N-acetyl-L-alaninate,C14H28N2O4,True,5,False,0,jYRPk
N-butyl-N-methylmorpholinium N-acetyl-L-leucinate,C17H34N2O4,True,5,False,0,KieTU
N-butyl-N-methylmorpholinium N-acetyl-L-valinate,C16H32N2O4,True,5,False,0,mMsAR
N-butyl-N-methylpiperidinium tricyanomethanide,C14H22N4,True,12,False,0,JdJUY;JEtCQ
N-butylimidazolium salicylate,C14H18N2O3,True,4,False,0,BBgMw
N-butylimidazolium trifluoroacetate,C9H13F3N2O2,True,3,False,0,eEJTB
N-butylimidazolium trifluoromethanesulfonate,C8H13F3N2O3S,True,3,False,0,tyYDy
N-butylpyridinium heptachlorodialuminate,C9H14Al2Cl7N,False,0,True,8,MzjbY
N-butyronitrile pyridinium bis(trifluoromethanesulfonyl)imide,C11H11F6N3O4S2,True,1,True,1,UkGzD;FxVCv
N-butyronitrilepyridinium dicyanamide,C11H11N5,True,1,True,1,nARnR;CHdEQ
