SMILES,method,T_K,surface_tension_Nm,Tc,Pc,Tb
Cc1cc(-c2ccccc2)n(-c2ccccc2)c1-c1ccc(Cl)cc1,joback,450,0.04218021478817948,1156.4280747413868,1937239.6349930572,889.6700000000001
N(C(=O)c1ccc(N(c2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1)C1CCCCC1,joback,250,0.06952342529884238,1243.8550813690865,1786366.3094172236,999.51
N(C(=O)c1ccc(N(c2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1)C1CCCCC1,joback,300,0.06527271774431463,1243.8550813690865,1786366.3094172236,999.51
N(C(=O)c1ccc(N(c2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1)C1CCCCC1,joback,350,0.06107177693940614,1243.8550813690865,1786366.3094172236,999.51
N(C(=O)c1ccc(N(c2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1)C1CCCCC1,joback,400,0.05692275685680784,1243.8550813690865,1786366.3094172236,999.51
N(C(=O)c1ccc(N(c2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1)C1CCCCC1,joback,450,0.05282803726114528,1243.8550813690865,1786366.3094172236,999.51
c1ccc(-c2noc(-c3ccccc3)c2CCC(=O)c2ccc(Br)cc2)cc1,joback,250,0.07965426813509224,1349.4792548105863,2104199.983166401,1067.63
c1ccc(-c2noc(-c3ccccc3)c2CCC(=O)c2ccc(Br)cc2)cc1,joback,300,0.07524957517853864,1349.4792548105863,2104199.983166401,1067.63
c1ccc(-c2noc(-c3ccccc3)c2CCC(=O)c2ccc(Br)cc2)cc1,joback,350,0.07089128539399703,1349.4792548105863,2104199.983166401,1067.63
c1ccc(-c2noc(-c3ccccc3)c2CCC(=O)c2ccc(Br)cc2)cc1,joback,400,0.06658119574732144,1349.4792548105863,2104199.983166401,1067.63
c1ccc(-c2noc(-c3ccccc3)c2CCC(=O)c2ccc(Br)cc2)cc1,joback,450,0.06232127068130486,1349.4792548105863,2104199.983166401,1067.63
C(#Cc1ccc(C(F)(F)F)cc1C(=O)O)[Si](C(C)C)(C(C)C)C(C)C,joback,250,0.042293008516507316,1035.7653188393626,1367686.7056475612,820.1299999999999
C(#Cc1ccc(C(F)(F)F)cc1C(=O)O)[Si](C(C)C)(C(C)C)C(C)C,joback,300,0.03902741660501327,1035.7653188393626,1367686.7056475612,820.1299999999999
C(#Cc1ccc(C(F)(F)F)cc1C(=O)O)[Si](C(C)C)(C(C)C)C(C)C,joback,350,0.03581080260479787,1035.7653188393626,1367686.7056475612,820.1299999999999
C(#Cc1ccc(C(F)(F)F)cc1C(=O)O)[Si](C(C)C)(C(C)C)C(C)C,joback,400,0.032645926306047825,1035.7653188393626,1367686.7056475612,820.1299999999999
C(#Cc1ccc(C(F)(F)F)cc1C(=O)O)[Si](C(C)C)(C(C)C)C(C)C,joback,450,0.029535931141268686,1035.7653188393626,1367686.7056475612,820.1299999999999
CS(=O)(=O)OCCC#C,joback,250,0.029387105960325538,454.65502822807446,4684891.8328749165,305.53999999999996
CS(=O)(=O)OCCC#C,joback,300,0.020867155369180913,454.65502822807446,4684891.8328749165,305.53999999999996
CS(=O)(=O)OCCC#C,joback,350,0.01294701164429354,454.65502822807446,4684891.8328749165,305.53999999999996
CS(=O)(=O)OCCC#C,joback,400,0.00585253489888645,454.65502822807446,4684891.8328749165,305.53999999999996
CS(=O)(=O)OCCC#C,joback,450,0.0002883522620492747,454.65502822807446,4684891.8328749165,305.53999999999996
FC(F)(F)CC(CCCOc1c(-c2ccccc2)oc2ccccc2c1=O)S(=O)(=O)Cc1ccnc(-c2ccccc2)c1,joback,250,0.05580298726206857,1518.67172071733,1197303.6721303626,1240.15
FC(F)(F)CC(CCCOc1c(-c2ccccc2)oc2ccccc2c1=O)S(=O)(=O)Cc1ccnc(-c2ccccc2)c1,joback,300,0.053126886045696216,1518.67172071733,1197303.6721303626,1240.15
FC(F)(F)CC(CCCOc1c(-c2ccccc2)oc2ccccc2c1=O)S(=O)(=O)Cc1ccnc(-c2ccccc2)c1,joback,350,0.05047507904279416,1518.67172071733,1197303.6721303626,1240.15
FC(F)(F)CC(CCCOc1c(-c2ccccc2)oc2ccccc2c1=O)S(=O)(=O)Cc1ccnc(-c2ccccc2)c1,joback,400,0.047848371319462644,1518.67172071733,1197303.6721303626,1240.15
FC(F)(F)CC(CCCOc1c(-c2ccccc2)oc2ccccc2c1=O)S(=O)(=O)Cc1ccnc(-c2ccccc2)c1,joback,450,0.04524763165816043,1518.67172071733,1197303.6721303626,1240.15
c1(C)ccc2c(c1)C(c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)=C1C(=O)N(c3ccccc3)C(=O)C1(Cc1ccccc1)O2,joback,250,0.051842528339157666,1834.3012343498137,1035232.6954643559,1495.2600000000002
c1(C)ccc2c(c1)C(c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)=C1C(=O)N(c3ccccc3)C(=O)C1(Cc1ccccc1)O2,joback,300,0.04984988154741452,1834.3012343498137,1035232.6954643559,1495.2600000000002
c1(C)ccc2c(c1)C(c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)=C1C(=O)N(c3ccccc3)C(=O)C1(Cc1ccccc1)O2,joback,350,0.04787161524595546,1834.3012343498137,1035232.6954643559,1495.2600000000002
c1(C)ccc2c(c1)C(c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)=C1C(=O)N(c3ccccc3)C(=O)C1(Cc1ccccc1)O2,joback,400,0.045908104938102184,1834.3012343498137,1035232.6954643559,1495.2600000000002
c1(C)ccc2c(c1)C(c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)=C1C(=O)N(c3ccccc3)C(=O)C1(Cc1ccccc1)O2,joback,450,0.0439597493226719,1834.3012343498137,1035232.6954643559,1495.2600000000002
c1(-c2ccccc2)cc2cccnc2n1S(=O)(=O)c1ccc(C)cc1,joback,250,0.07550176221162609,1047.0315355678615,2738284.864322092,803.6199999999999
c1(-c2ccccc2)cc2cccnc2n1S(=O)(=O)c1ccc(C)cc1,joback,300,0.06975381220530416,1047.0315355678615,2738284.864322092,803.6199999999999
c1(-c2ccccc2)cc2cccnc2n1S(=O)(=O)c1ccc(C)cc1,joback,350,0.06409077872559664,1047.0315355678615,2738284.864322092,803.6199999999999
c1(-c2ccccc2)cc2cccnc2n1S(=O)(=O)c1ccc(C)cc1,joback,400,0.058517369643400374,1047.0315355678615,2738284.864322092,803.6199999999999
c1(-c2ccccc2)cc2cccnc2n1S(=O)(=O)c1ccc(C)cc1,joback,450,0.053038935915890845,1047.0315355678615,2738284.864322092,803.6199999999999
CCOC(=O)/C=C/C1=CCCCC1(C)C,joback,250,0.03870120629730551,796.6000152724342,2187684.0389197743,583.3499999999999
CCOC(=O)/C=C/C1=CCCCC1(C)C,joback,300,0.03441938977507446,796.6000152724342,2187684.0389197743,583.3499999999999
CCOC(=O)/C=C/C1=CCCCC1(C)C,joback,350,0.030232453582948474,796.6000152724342,2187684.0389197743,583.3499999999999
CCOC(=O)/C=C/C1=CCCCC1(C)C,joback,400,0.02614858997295416,796.6000152724342,2187684.0389197743,583.3499999999999
CCOC(=O)/C=C/C1=CCCCC1(C)C,joback,450,0.022177815160547985,796.6000152724342,2187684.0389197743,583.3499999999999
c1(C(c2ccnc3[nH]ccc23)N(C)C)ccccc1,joback,250,0.06528310030401681,1012.2275128438567,2796513.6423723265,753.8199999999999
c1(C(c2ccnc3[nH]ccc23)N(C)C)ccccc1,joback,300,0.06008788589377135,1012.2275128438567,2796513.6423723265,753.8199999999999
c1(C(c2ccnc3[nH]ccc23)N(C)C)ccccc1,joback,350,0.05497314891081598,1012.2275128438567,2796513.6423723265,753.8199999999999
c1(C(c2ccnc3[nH]ccc23)N(C)C)ccccc1,joback,400,0.049943584467143615,1012.2275128438567,2796513.6423723265,753.8199999999999
c1(C(c2ccnc3[nH]ccc23)N(C)C)ccccc1,joback,450,0.04500456536667463,1012.2275128438567,2796513.6423723265,753.8199999999999
O=C(SCC(c1ccccc1)c1ccccn1)c1cccc(F)c1,joback,250,0.06843277021171991,1189.8014175522865,2233411.1155977864,917.3999999999999
O=C(SCC(c1ccccc1)c1ccccn1)c1cccc(F)c1,joback,300,0.06400956793208228,1189.8014175522865,2233411.1155977864,917.3999999999999
O=C(SCC(c1ccccc1)c1ccccn1)c1cccc(F)c1,joback,350,0.05964128110129597,1189.8014175522865,2233411.1155977864,917.3999999999999
O=C(SCC(c1ccccc1)c1ccccn1)c1cccc(F)c1,joback,400,0.05533043884262921,1189.8014175522865,2233411.1155977864,917.3999999999999
O=C(SCC(c1ccccc1)c1ccccn1)c1cccc(F)c1,joback,450,0.0510798534806314,1189.8014175522865,2233411.1155977864,917.3999999999999
CC[Si](CC)(CC)c1cc(P(c2c(-c3c(OCC(=O)O)ccc4ccccc34)c3c(cc2)cccc3)c2cc([Si](CC)(CC)CC)cc([Si](CC)(CC)CC)c2)cc([Si](CC)(CC)CC)c1,joback,250,0.0035011597475605003,2791.7019764892857,321628.4589210987,1885.39
