name,CAS,Quantity,Value,Units,Method,Reference,Comment
Neopentane,463-82-1,ΔcH°gas,-3514.1 ± 0.96,kJ/mol,Cm,"Pilcher and Chadwick, 1967",Corresponding ΔfHºgas= -168.5 kJ/mol (simple calculation by NIST; no Washburn corrections);ALS
2-Methylpentane,107-83-5,ΔfH°gas,-174.3 ± 1.0,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
2-Methylpentane,107-83-5,Quantity,Value,Units,Method,Reference,Comment
2-Methylpentane,107-83-5,ΔcH°gas,-4157.7 ± 0.96,kJ/mol,Ccb,"Prosen and Rossini, 1945",Corresponding ΔfHºgas= -204.2 kJ/mol (simple calculation by NIST; no Washburn corrections);ALS
3-Methylpentane,96-14-0,ΔfH°gas,-171.6 ± 0.96,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
3-Methylpentane,96-14-0,Quantity,Value,Units,Method,Reference,Comment
3-Methylpentane,96-14-0,S°gas,382.88 ± 0.67,J/mol*K,N/A,"Finke H.L., 1973","The entropy values S(323.8 K)=397.46 and S(336.5 K)=400.66 J/mol*K were calculated by [Scott D.W., 1974] from the experimental data [Finke H.L., 1973].;GT"
"2,2-Dimethylbutane",75-83-2,ΔfH°gas,-185.6 ± 0.96,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
"2,2-Dimethylbutane",75-83-2,Quantity,Value,Units,Method,Reference,Comment
"2,2-Dimethylbutane",75-83-2,S°gas,358.65 ± 0.84,J/mol*K,N/A,"Kilpatrick J.E., 1946","The entropy values S(296.05 K)=357.19 and S(322.85 K)=369.87 J/mol*K were calculated by [Scott D.W., 1974] from the experimental data [Douslin D.R., 1946].;GT"
"2,3-Dimethylbutane",79-29-8,ΔfH°gas,-177.8 ± 1.0,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
2-Methylhexane,591-76-4,ΔfH°gas,-195.0 ± 1.3,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
2-Methylhexane,591-76-4,ΔfH°gas,-196.2,kJ/mol,N/A,"Davies and Gilbert, 1941","Value computed using ΔfHliquid° value of -231.0±1.0 kj/mol fromDavies and Gilbert, 1941and ΔvapH° value of 34.8 kj/mol fromProsen and Rossini, 1945.;DRB"
2-Methylhexane,591-76-4,Quantity,Value,Units,Method,Reference,Comment
2-Methylhexane,591-76-4,S°gas,419.99,J/mol*K,N/A,"Huffman H.M., 1961",GT
3-Methylhexane,589-34-4,ΔfH°gas,-192.3 ± 1.3,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
3-Methylhexane,589-34-4,ΔfH°gas,-192.9,kJ/mol,N/A,"Davies and Gilbert, 1941","Value computed using ΔfHliquid° value of -228.0±1.0 kj/mol fromDavies and Gilbert, 1941and ΔvapH° value of 35.1 kj/mol fromProsen and Rossini, 1945.;DRB"
"2,2,4-Trimethylpentane",540-84-1,ΔfH°gas,-224.1 ± 1.3,kJ/mol,Ccb,"Prosen and Rossini, 1945",ALS
